site_url,bias
vaccinesrevealed.com, conspiracy
lifenews.com, right
indystar.com, leftcenter
clear-politics.com, right
transparency.org, center
sanevax.org, conspiracy
pe.com, right-center
gopusa.com, right
truthbang.net, satire
realcleardefense.com, right-center
newsrescue.com, right-center
angrypatriotmovement.com, fake-news
libertyunyielding.com, right
politico.com, leftcenter
lifehacker.com, leftcenter
politicer.com, satire
liberationnews.org, left
quackwatch.org, pro-science
columbiadailyherald.com, right-center
newatlas.com, pro-science
thewashingtonstandard.com, fake-news
alt-market.com, conspiracy
dandygoat.com, satire
sciencenews.org, pro-science
politichicks.com, right
glamour.com, leftcenter
mbganews.com, fake-news
chicagotribune.com, leftcenter
afp.com, center
politicsthatwork.com, leftcenter
teddystick.com, fake-news
who.int, pro-science
redstatejournalist.com, fake-news
beforeitsnews.com, fake-news
bridgemi.com, center
openthegovernment.org, center
democratandchronicle.com, leftcenter
home.nra.org, right
twincities.com, leftcenter
theheartysoul.com, conspiracy
thefreepatriot.org, fake-news
molonlabemedia.com, fake-news
sunlightfoundation.com, center
ladylibertysnews.com, fake-news
proudemocrat.com, left
nextgov.com, center
heraldsun.com.au, right-center
todaydispatch.com, fake-news
worldsocialism.org, left
legalinsurrection.com, right
rightjournalist.com, fake-news
aidc.org.za, left
city-journal.org, right
host.madison.com, center
dailytelegraph.com.au, right
time.com, leftcenter
thefrisky.com, left
modernliberals.com, left
dcwhispers.com, right
americanjournalreview.com, fake-news
mygoogle.ca, fake-news
conservativebase.com, right
jewwatch.com, fake-news
dallasvoice.com, left
westernsentinel.com, fake-news
myzonetoday.com, fake-news
nottnews.com, satire
atlantablackstar.com, leftcenter
faithwire.com, right
harvardpolitics.com, center
aclj.org, right
teapartypatriots.org, right
fresnobee.com, leftcenter
abovetopsecret.com, conspiracy
globalintegrity.org, center
hindustantimes.com, leftcenter
tharawat-magazine.com, right-center
americanprogress.org, left
aaas.org, pro-science
theeventchronicle.com, conspiracy
rfa.org, leftcenter
japantimes.co.jp, center
conservativefiringline.com, fake-news
youthradio.org, leftcenter
qz.com, leftcenter
principia-scientific.org, conspiracy
cnet.com, pro-science
howstuffworks.com, pro-science
plos.org, pro-science
panampost.com, leftcenter
nationalenquirer.com, fake-news
fortune.com, right-center
thehardtimes.net, satire
wsj.com, right-center
fraserinstitute.org, right-center
inquirer.net, leftcenter
intellectualtakeout.org, right
naturalnews.com, conspiracy
imowired.com, fake-news
70news.wordpress.com, fake-news
personalliberty.com, fake-news
theglobeandmail.com, leftcenter
bluedotdaily.com, left
ire.org, center
shameproject.com, leftcenter
9news.com.au, right-center
consumerist.com, center
humanprogress.org, right-center
votevets.org, leftcenter
metabunk.org, center
alternet.org, left
investmentwatchblog.com, conspiracy
pjmedia.com, right
endingthefed.com, fake-news
dailyherald.com, right-center
newsweek.com, leftcenter
libertytalk.fm, right
powerlineblog.com, right
wikipedia.org, center
nextavenue.org, center
theconservativetreehouse.com, right
theconversation.com, center
nccivitas.org, right
nationalreport.net, satire
