,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['using', 'firemen', 'term', 'brigade', '16', 'london', 'outdated', 'lfb', 'abolish', 'firefighters', 'fireman', 'women', 'push']","The London Fire Brigade (LFB) are trying to finally extinguish the word ‘firemen’ in an anti-sexisim push aimed at encouraging more women to join the service.
The brigade on Monday urged Britons to stop using the “outdated term” which it believes is impacting recruitment.
Today we launch #FirefightingSexism because the term fireman is outdated & no one has had that job title since late 80s.
Using it projects that the work we do is only for men, which is wrong https://t.co/DZTbw7ombc pic.twitter.com/rb9soRA06B — London Fire Brigade (@LondonFire) October 16, 2017Wouldn't it be great if the media led the way and stopped using the term ""fireman"".
— John Long (@fantavidozi) October 16, 2017You need to start with the kids, they're being indoctrinated from the cradle... pic.twitter.com/nG5ASkE8LS — Brian Trousers (@briantrousers) October 16, 2017I’ll continue to use the term ‘firemen’.","The London Fire Brigade (LFB) are trying to finally extinguish the word ‘firemen’ in an anti-sexisim push aimed at encouraging more women to join the service.

The brigade on Monday urged Britons to stop using the “outdated term” which it believes is impacting recruitment.

Brigade research shows that many women think firefighting is for men and the LFB is concerned that referring to ‘firemen’ reinforces that stereotype, it said in a press release today.

“Outdated language is stopping young girls and women considering firefighting as a career,” Commissioner Dany Cotton said.

Today we launch #FirefightingSexism because the term fireman is outdated & no one has had that job title since late 80s. Using it projects that the work we do is only for men, which is wrong https://t.co/DZTbw7ombc pic.twitter.com/rb9soRA06B — London Fire Brigade (@LondonFire) October 16, 2017

Wouldn't it be great if the media led the way and stopped using the term ""fireman"". #fightingsexism https://t.co/KL1nk3gf4y — Darren Dovey (@FireChiefNhants) October 16, 2017

There’s no such thing as firemen. Job title has been firefighter since late 80s. Use the hashtag #FirefightingSexism & tell us why you’re backing our campaign pic.twitter.com/FFFamtA5Pv — London Fire Brigade (@LondonFire) October 16, 2017

“The first woman firefighter joined London Fire Brigade in 1982 and it’s ridiculous that 35 years later people are still surprised to see women firefighters or calling them firemen.

“London is a complex and challenging city and it takes a diverse selection of skills, strengths and specialisms to protect it - qualities that both men and women possess. I want to shake off outdated language which we know is stopping young girls and women from considering this rewarding and professional career.

“We owe it to tomorrow’s firefighters to challenge negative stereotypes today.”

Reaction to the plans has been largely positive.

Glad to see getting some publicity this has annoyed @Firesnapper999 & me for a long time #Iamafirefighter — David Phillips (@AlrowServices) October 16, 2017

2/2 There's gender neutrality in almost all jobs these days, doctor, dentist, lawyer, paramedic, soldier, sailor and of course Commissioner — Pete Miller (@PeteLondonerUK) October 16, 2017

Mayor of London Sadiq Khan endorsed the push, saying the LFB is “leading the way” in breaking down stereotypes and “removing the barriers to women in the workplace, and becoming as diverse and inclusive as the city it serves”.

Khan added: “Sexism, or any kind of discrimination, has absolutely no place in London – including the capital’s Fire Brigade - and I fully support this fantastic campaign.”

Khan said firefighters “do one of the most important jobs there is”, regardless of gender, singling out their “heroic response” in tackling this year’s deadly terrorist attacks and the Grenfell Tower tragedy.

The Fire Brigade Union said it had not used the term ‘firemen’ for decades and has “consistently complained to print and broadcast media and programme makers for using this archaic term that no longer represents our modern fire and rescue service”.

General secretary Matt Wrack added: “We wholeheartedly welcome more women into the fire and rescue service because we believe that a diverse service should reflect the communities that firefighters serve. We are proud and pleased to be part of this initiative.”

Some former fire fighters however, thought the LFB shouldn’t change how staff are referred to, saying it was “insulting”, while others on Twitter suggested the general public is progressive enough to appreciate times had changed without the brigade needing to take a stand.

Some commenters were more pointed in their criticism suggesting the LFB’s initiative was “ultra PC triviality”.

I was in the LFB from 70’s to late 90’s, I was a Fireman then and still am, in my heart, a Fireman. Stop playing around with words. — Steve D Luddite (@mrloopy52) October 16, 2017

Firemen/Firewomen/Firefighters - all valid terms. We know where and how to use these appropriately. Thanks. — The Confessions (@TheConfessions8) October 16, 2017

Fireman & Firewomen . These are the terms I prefer thanks ! I can easily differentiate and thankfully so can my children! — Lindsey Currie‏لينزي (@LCurrie40) October 16, 2017

Today’s crews are Firefighters but STOP insulting ex-Firemen & Firewoman pre80’s by changing their titles to Firefighters, we get insulted. — Larry & Jinty (@LegoTogger) October 16, 2017

What about Policeman. Are they exempt. — John Long (@fantavidozi) October 16, 2017

Crimefighter???? — John Long (@fantavidozi) October 16, 2017

You need to start with the kids, they're being indoctrinated from the cradle... pic.twitter.com/nG5ASkE8LS — Brian Trousers (@briantrousers) October 16, 2017

I’ll continue to use the term ‘firemen’. Forget this ultra PC triviality and do your damn jobs... — Just Phil (@fullenglish71) October 16, 2017

But those responding negatively were quickly put in their place - by a former firefighter.

Ironic its a man telling me what should be important to me i worked my arse off to be a Firefighter im not a man we are Firefighters — Fireyfairy (@MrsFireyFairy) October 16, 2017

Thank you for proving tbe point showing the world ignorance we face much appreciated #FirefightingSexism — Fireyfairy (@MrsFireyFairy) October 16, 2017",London Fire Brigade In Push To Abolish 'Outdated Firemen Term',http://www.huffingtonpost.co.uk/2017/10/16/london-fire-brigade_n_18283048.html?utm_hp_ref=uk&amp;ir=UK
1,"['social', 'lynching', 'young', 'junaid', 'boy', 'student', '16yearold', 'death', 'subject', 'views', 'film', 'race', 'untold', 'documentary', 'pertinent', 'filmmakers']","A panel discussion followed the screening presided over by the renowned feminist activist and social scientist Kamla Bhasin, and advocate Kabir Dixit.
The film is an attempt to present the untold story around the lynching of 16-year-old Hafiz Junaid.
A resident of Ballabhgarh, Haryana, Junaid had come to Delhi with his brothers to shop for Eid.
What the film doesn't show but makes the viewer feel is the all-pervasive fear and paranoia following the death of Junaid.
Kamla Bhasin congratulated the young filmmakers for their courage for taking up such a sensitive subject for their first film.","ADVERTISEMENT

Junaid, a short documentary made by a group of four student filmmakers from AJK MCRC, Jamia Millia Islamia, Sarah Rifai, Raza Ansari, Mehtab Shah and Daud Arif, was recently screened at Khudai Khidmatgar, Ghaffar Manzil, Okhla, New Delhi. The screening was organised by the filmmakers in collaboration with Sabka Ghar, a home to promote communal harmony, and dedicated to all those who have been killed in the name of religion, race, caste, and boundaries. A panel discussion followed the screening presided over by the renowned feminist activist and social scientist Kamla Bhasin, and advocate Kabir Dixit.

The film is an attempt to present the untold story around the lynching of 16-year-old Hafiz Junaid. The teenager was brutally stabbed to death on board a train while on his way back home, a day before Eid. A resident of Ballabhgarh, Haryana, Junaid had come to Delhi with his brothers to shop for Eid. The boy was lynched by a bloodthirsty crowd, which falsely suspected him for a beef eater.

The film endeavours to bring to light the untold story of Junaid's barbaric lynching that went completely unnoticed amidst the television news' race for TRPs, and political mileage.

The film opens with graphic images of Junaid's brother writhing in agony while lying on a railway platform in his bloodstained clothes. It ends with the archival footage of a pensive-looking journalist Ravish Kumar (NDTV) lamenting the loss of an innocent life due to the indifference of the co-passengers who chose not to act when it mattered the most. The documentary shows a mother talk about her dead son with tear-filled eyes, and a teacher talking about the tragic death of his sincere and hardworking pupil. What the film doesn't show but makes the viewer feel is the all-pervasive fear and paranoia following the death of Junaid. The film received unanimous applause from all those present at the screening.

Kamla Bhasin congratulated the young filmmakers for their courage for taking up such a sensitive subject for their first film. She also talked about the importance of bridging the divide between people divided on the basis of religion, caste, gender, or race. Kabir Dixit applauded the filmmakers for being true to the subject without losing their sense of objectivity. He also stressed upon the need to ask the right questions at all times. The team of filmmakers thanked everybody and discussed the challenges they faced during the filming of Junaid while emphasising upon the need to show the truth at all costs.

Egged on by the positive response, the young filmmakers now plan to take the film across the country, hoping to raise awareness about unsavoury elements of society who are trying to destroy the social fabric that binds us together.

A version of this article was first published in A Potpourri of Vestiges.

The opinions expressed in this post are the personal views of the author. They do not necessarily reflect the views of HuffPost India. Any omissions or errors are the author's and HuffPost India does not assume any liability or responsibility for them.",'Junaid': A Pertinent Student Documentary About The Lynching Of A 16-Year-Old Boy,http://www.huffingtonpost.in/murtaza-ali-khan/junaid-a-pertinent-student-documentary-about-the-lynching-of-a-16-year-old-boy_a_23236556/
2,"['revolución', 'velas', 'monumento', 'el', 'así', 'fue', 'noche', 'en', 'la']",,,Así fue la Noche de Velas en el Monumento a la Revolución,http://www.huffingtonpost.com.mx/2017/10/16/asi-fue-la-noche-de-velas-en-el-monumento-a-la-revolucion_a_23244641/
3,"['gouge', 'eyes', 'attackers', 'kerala', 'viral', 'bjp', 'leader']","We Will Gouge Out The Eyes Of Our Attackers In Kerala, Says BJP Leader","We Will Gouge Out The Eyes Of Our Attackers In Kerala, Says BJP Leader",Viral,http://www.huffingtonpost.in/news/viral/
4,"['συνεχίσω', 'πολιτική', 'μου', 'προσφυγικό', 'στο', 'θα', 'την', 'κουρτς']",,,Κουρτς: «Θα συνεχίσω την πολιτική μου στο προσφυγικό»,http://www.huffingtonpost.gr/2017/10/16/diethnes-kourts-tha-sinexiso-tin-politiki-mou-sto-prosfigiko_n_18283992.html?utm_hp_ref=greece#comments
5,"['feminicidio', 'reacciona', 'uber', 'ante', 'el', 'mariana']",,,Uber reacciona ante el feminicidio de Mariana,http://www.huffingtonpost.com.mx/2017/10/15/uber-reacciona-ante-el-feminicidio-de-mariana_a_23244073/
6,"['σε', 'που', 'οι', 'την', 'στην', 'της', 'τις', 'νεκροί', 'πυρκαγιές', 'τη', 'βλάστησης', 'η', 'το', 'στρέμματα', 'στάχτη', 'δεκάδες', 'από', 'πορτογαλία', '440', 'και']","Οι αρχές χαρακτηρίζουν αυτές τις πυρκαγιές «επιπέδου δύο»—μία βαθμίδα κάτω από το μέγιστο επίπεδο απειλής για τους πολίτες.
Πυρκαγιές μαίνονται εξάλλου γύρω από το Βίγο, μια από τις πόλεις της Γαλικίας με τον μεγαλύτερο πληθυσμό, όπου οι εστίες ενός πανεπιστημίου εκκενώθηκαν, δήλωσε η εκπρόσωπος.
Πάνω από 440 πυρκαγιές καταγράφηκαν σε όλη την Πορτογαλία την Κυριακή ως τις 22:00 τοπική ώρα (24:00 ώρα Ελλάδας).
Πάνω από 100 πυρκαγιές συνεχίζονταν κατά τη διάρκεια της νύχτας, για την αντιμετώπιση των οποίων έχουν κινητοποιηθεί 6.000 πυροσβέστες.
Η κυκλοφορία διακόπηκε σε τρεις αυτοκινητόδρομους, συμπεριλαμβανομένου αυτού που συνδέει τη Λισαβόνα με το Πόρτου, τη μεγαλούπολη του πορτογαλικού βορρά.","Τουλάχιστον 27 άνθρωποι έχασαν τη ζωή τους εξαιτίας πυρκαγιών που μαίνονται σε διαφορετικές περιοχές της Γαλικίας, στη βορειοδυτική Ισπανία, δήλωσε την Κυριακή μια εκπρόσωπος της Guardia Civil.

Άνδρες της Πυροσβεστικής Υπηρεσίας ανακάλυψαν δύο απανθρακωμένα πτώματα σε ένα αυτοκίνητο που είχε παραδοθεί στις φλόγες σε δρόμο που συνδέει δύο συνοικίες της πόλης Νιγράν, στην επαρχία Ποντεβέδρα.

Η εκπρόσωπος της ισπανικής αστυνομίας δεν διευκρίνισε τα αίτια των πυρκαγιών. Οι αρχές χαρακτηρίζουν αυτές τις πυρκαγιές «επιπέδου δύο»—μία βαθμίδα κάτω από το μέγιστο επίπεδο απειλής για τους πολίτες.

Πυρκαγιές μαίνονται εξάλλου γύρω από το Βίγο, μια από τις πόλεις της Γαλικίας με τον μεγαλύτερο πληθυσμό, όπου οι εστίες ενός πανεπιστημίου εκκενώθηκαν, δήλωσε η εκπρόσωπος.

Η Πορτογαλία επλήγη την Κυριακή από έναν αριθμό πυρκαγιών χωρίς ιστορικό προηγούμενο, οι οποίες στοίχισαν τη ζωή σε τουλάχιστον τρεις ανθρώπους στο κεντρικό τμήμα της χώρας, ανακοίνωσαν οι αρχές.

«Θρηνούμε δύο πολίτες που βρέθηκαν νεκροί στο εσωτερικό ενός αχυρώνα κοντά στην Πενακόβα, κι άλλον έναν που έχασε τη ζωή του στην πυρκαγιά στη Σέρτα», δήλωσε σε δημοσιογράφους η εκπρόσωπος της Πολιτικής Προστασίας Πατρίσια Γκάσπαρ, χωρίς να δώσει περισσότερες διευκρινίσεις.

Ακόμη 25 άνθρωποι, πολίτες και πυροσβέστες, τραυματίστηκαν, σχεδόν όλοι ελαφρά: οι περισσότεροι δέχθηκαν φροντίδες για εισπνοή καπνού ή τραυματισμούς που υπέστησαν όταν έπεσαν, σύμφωνα με τον απολογισμό που έδωσε η ίδια εκπρόσωπος.

Πάνω από 440 πυρκαγιές καταγράφηκαν σε όλη την Πορτογαλία την Κυριακή ως τις 22:00 τοπική ώρα (24:00 ώρα Ελλάδας).

«Βιώσαμε τη χειρότερη ημέρα από την αρχή της χρονιάς σε ό,τι αφορά τις πυρκαγιές», είχε σχολιάσει η Γκάσπαρ το απόγευμα—όταν ακόμη η καταμέτρηση ανερχόταν στις 300 εστίες φωτιάς.

Πάνω από 100 πυρκαγιές συνεχίζονταν κατά τη διάρκεια της νύχτας, για την αντιμετώπιση των οποίων έχουν κινητοποιηθεί 6.000 πυροσβέστες. Οι κάτοικοι τουλάχιστον είκοσι χωριών χρειάστηκε να απομακρυνθούν από τις εστίες τους σε διάφορες περιοχές και πολλά σπίτια έγιναν παρανάλωμα του πυρός, σύμφωνα με την εκπρόσωπο της πορτογαλικής Πολιτικής Προστασίας.

Η κυκλοφορία διακόπηκε σε τρεις αυτοκινητόδρομους, συμπεριλαμβανομένου αυτού που συνδέει τη Λισαβόνα με το Πόρτου, τη μεγαλούπολη του πορτογαλικού βορρά.

It's someone would described how hell looked they would prob describe something like this. Abosliutely not OK #PrayForPortugal #Portugal pic.twitter.com/ZFaHzXLsuK

— Ariana Costa (@Its_Arianaaa21) October 16, 2017","440 πυρκαγιές, δεκάδες νεκροί και 2.000.000 στρέμματα βλάστησης στάχτη στην Πορτογαλία",http://www.huffingtonpost.gr/2017/10/16/pyrkagies-portogalia-nekroi-eidiseis-diethnes_n_18281060.html?utm_hp_ref=greece
7,"['dann', 'peinlich', 'sich', 'ihren', 'zu', 'richtig', 'und', 'sie', 'silvana', 'chef', 'es', 'datingshow', 'trifft', 'ich', 'wird', 'die', 'frank', 'kandidatin']","""Take me out"": Kandidatin trifft in Dating-Show ihren Chef - dann wird es richtig peinlich.
| MG RTL D / Frank HempelKandidatin Silvana trifft in der RTL-Datingshow ""Take me out"" ihren ChefSie entscheidet sich dafür, ihn näher kennen lernen zu wollenUnd auch ihr Chef Frank scheint nicht abgeneigt zu seinAnbandeln mit dem Chef - vor großem Publikum?
Als die junge Frau in der Show Frank, den zweiten Kandidaten, erblickt, scheint sie zunächst peinlich berührt zu sein.
Silvana gehört dann auch zu den vier Frauen, die Frank näher kennen lernen wollen.
Nun muss ihr Chef sich für zwei Frauen entscheiden.","""Take me out"": Kandidatin trifft in Dating-Show ihren Chef - dann wird es richtig peinlich. | MG RTL D / Frank Hempel

Kandidatin Silvana trifft in der RTL-Datingshow ""Take me out"" ihren Chef

Sie entscheidet sich dafür, ihn näher kennen lernen zu wollen

Und auch ihr Chef Frank scheint nicht abgeneigt zu sein

Anbandeln mit dem Chef - vor großem Publikum? Kandidatin Silvana schien das bei der RTL-Datingshow ""Take me out"" am Samstag nicht abzuschrecken.

Als die junge Frau in der Show Frank, den zweiten Kandidaten, erblickt, scheint sie zunächst peinlich berührt zu sein. Denn sie arbeitet im Büro von Frank, einem Versicherungsmakler. Moderator Ralf Schmitz sagte zu der Situation: ""In eurer Haut möchte ich nicht stecken.“

Silvana möchte ihren Chef daten - und er sie wohl auch

Doch nach dem Vorstellungsfilm, in dem das große Haus ihres Chefs mit Pool zu sehen ist, denkt sie offenbar um: Auf die Frage, ob sie ihren Chef daten möchte, antwortete sie: ""Ja, gerade eben! Ich finde ihn sehr sympathisch.“ Die anderen Kandidatinnen wirken leicht beschämt.

Silvana gehört dann auch zu den vier Frauen, die Frank näher kennen lernen wollen. Nun muss ihr Chef sich für zwei Frauen entscheiden. Überraschung: Eine davon ist Silvana.

""Ich glaube, ich werde ohnmächtig“

Beiden Frauen muss Frank nun seine finale Frage stellen: ""Du planst meinen 40. Geburtstag. Was planst Du und warum?“ Ihr könnt euch schon denken, wer die Frage seiner Meinung nach am besten beantwortet: Silvana. Sie hatte die Idee einer intimen Familienfeier.

Frank entscheidet sich vor großem Publikum - und darunter sind wahrscheinlich auch die anderen Kollegen - für ein Date mit seiner Angestellten. ""Ich glaube, ich werde ohnmächtig“, sagte Silvana dazu. Frank scheint sich aber bewusst zu sein, dass ihnen gerade alle Welt zusieht - und wirkt dann doch, als sei ihm die ganze Situation etwas unangenehm.



Die Datingshow ""Take me out"" läuft samstags um 22:25 auf RTL.

(ks)","""Take me out"": Kandidatin trifft in Dating-Show ihren Chef - dann wird es richtig peinlich",http://www.huffingtonpost.de/2017/10/15/rtl-take-me-out-kandidatin-chef_n_18274854.html?utm_hp_ref=germany
8,"['tormund', 'sigue', 'vivo', 'video', 'acaso']",,,VIDEO: ¿Acaso Tormund sigue vivo?,http://www.huffingtonpost.com.mx/2017/10/14/video-acaso-tormund-sigue-vivo_a_23243064/
9,"['fall', 'wedding', 'karine', 'marries', 'nb', 'person', 'brunswick', 'gallant', 'brian', 'premier', 'patient', 'lavoie', 'married', 'generous', 'thoughtful']","Premier Brian Gallant, who is in his mid-30s, got married in St. Andrews, N.B.
Gallant announced the nuptials on social media on Sunday, and his office later confirmed the details.
This beautiful Fall weekend, I got married to the most thoughtful, generous, and patient person I know, Karine.
pic.twitter.com/4LMYiOOrZd — Brian Gallant (@BrianGallantNB) October 15, 2017The post includes a photo of the newlyweds strolling down a tree-lined path amidst the changing fall colours, Gallant wearing a blue tux and red bowtie, and his bride carrying a bouquet.
In a tweet, Gallant described his newlywed spouse, Karine Lavoie, ""the most thoughtful, generous, and patient person I know.""","SAINT ANDREWS, N.B. — Canada's youngest premier is officially off the market after tying the knot.

Premier Brian Gallant, who is in his mid-30s, got married in St. Andrews, N.B. on Friday evening.

Gallant announced the nuptials on social media on Sunday, and his office later confirmed the details.

This beautiful Fall weekend, I got married to the most thoughtful, generous, and patient person I know, Karine. pic.twitter.com/4LMYiOOrZd — Brian Gallant (@BrianGallantNB) October 15, 2017

The post includes a photo of the newlyweds strolling down a tree-lined path amidst the changing fall colours, Gallant wearing a blue tux and red bowtie, and his bride carrying a bouquet.

In a tweet, Gallant described his newlywed spouse, Karine Lavoie, ""the most thoughtful, generous, and patient person I know.""

Although they both grew up in Shediac Bridge, N.B., the two met on a blind date set up by mutual friends.

The couple announced their engagement in March.",New Brunswick Premier Brian Gallant Marries Karine Lavoie In Fall Wedding,http://www.huffingtonpost.ca/2017/10/16/new-brunswick-premier-brian-gallant-marries-karine-lavoie-in-fall-wedding_a_23244518/
